date,predicted_inflation
2026-04-01,3.456850454857428
2026-05-01,3.3966050663980174
2026-06-01,3.344403483338974
2026-07-01,3.299171717994708
2026-08-01,3.2599791786833108
2026-09-01,3.2260195238702765
2026-10-01,3.1965940726164694
2026-11-01,3.1710974300193295
2026-12-01,3.149005031907264
2027-01-01,3.1298623525335985
2027-02-01,3.113275553230772
2027-03-01,3.0989033796315675
2027-04-01,3.0864501407519915
2027-05-01,3.0756596254884996
2027-06-01,3.066309831368464
2027-07-01,3.0582083971039835
2027-08-01,3.0511886449790624
2027-09-01,3.0451061516468156
2027-10-01,3.0398357767847917
2027-11-01,3.0352690884763978
2027-12-01,3.0313121323486105
2028-01-01,3.0278834985685354
2028-02-01,3.024912646929489
2028-03-01,3.02233845556717
2028-04-01,3.0201079634474204
2028-05-01,3.018175280753705
2028-06-01,3.016500644756782
2028-07-01,3.0150496017421626
2028-08-01,3.0137922981644634
2028-09-01,3.0127028664449567
2028-10-01,3.011758892775813
2028-11-01,3.010940955981721
2028-12-01,3.0102322279514815
2029-01-01,3.009618127418928
2029-02-01,3.0090860199701015
2029-03-01,3.008624958104678
2029-04-01,3.0082254560037085
2029-05-01,3.0078792943697756
2029-06-01,3.0075793513243796
2029-07-01,3.0073194558834566
2029-08-01,3.007094260996463
2029-09-01,3.006899133536943
2029-10-01,3.0067300589812684
2029-11-01,3.0065835588144187
2029-12-01,3.0064566189635267
2030-01-01,3.0063466277867863
2030-02-01,3.0062513223419183
2030-03-01,3.006168741828729
2030-04-01,3.0060971872478963
2030-05-01,3.0060351864460073
2030-06-01,3.005981463827691
2030-07-01,3.005934914111706
2030-08-01,3.005894579591048
2030-09-01,3.0058596304292267
2030-10-01,3.005829347587331
2030-11-01,3.005803108030629
2030-12-01,3.005780371910345
2031-01-01,3.0057606714568856
2031-02-01,3.0057436013560226
2031-03-01,3.005728810410013
2031-04-01,3.005715994312111
